"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"EVQQ2";"EVQ-Q2";"PROGRAM, RESET";"SMT 6mm switch, EVQQ2 series";"";
"1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C1";"302010138";"";
"2";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"R4, R6";"301010293";"";
"1";"1K";"SMD-RES-1K-1%-1/10W(0603)";"R0603";"R1";"301010298";"";
"1";"1M 1/10W";"SMD-RES-1M-5%-1/10W(0603)";"R0603";"R5";"301010100";"";
"2";"22R";"SMD-RES-22R-5%-1/10W(0603)";"R0603";"R2, R3";"301010289";"";
"1";"2X6 FEMALE";"CONN_06X2PTH_FEMALE";"2X6";"J100";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"D1";"304090043";"";
"1";"USB_AB";"USB_AB";"USB-AB-MICRO-SMD";"USB";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";
