1,LED_WHITE,LEDCHIP-LED0603,CHIP-LED0603,LED1,LED,,,,,LTW-C194TS5,,,
3,0.1u,C-USC0402,C0402,"C2, C3, C4","CAPACITOR, American symbol",,,,,GRM155R71C104KA88J,,,
1,10uF,C-USC0402,C0402,C1,"CAPACITOR, American symbol",,,,,CL05A106MP8NUB8,,,
1,120OHM-500MA,SMD-FERRITE-CHIP-120-OHM-500MA(0603),L0603,L1,303030001,,,,,BLM18AG121SN1D,,,120OHM-500MA
1,220,R-US_R0402,R0402,R3,"RESISTOR, American symbol",,,,,ERJ-2RKF2200X,,,
3,4.75k,R-US_R0402,R0402,"R1, R2, R4","RESISTOR, American symbol",,,,,CRCW04024K75FKED,,,
1,502585-0470,502585-0470,MOLEX_502585-0470,P1,"1.50mm Pitch CLIK-Mate™ Wire-to-Board PCB Receptacle, Single Row, Right Angle, 4 Circuits",Good,"1.50mm Pitch CLIK-Mate™ Wire-to-Board PCB Receptacle, Single Row, Right Angle, 4 Circuits",Molex,502585-0470,502585-0470,None,0.44 USD,
1,BNO055,BNO055,BNO055,U1,BNO055 - Motion Co-Processor,,,,,BNO055,,,
